id,train_or_test,length,Title,Author,date,lang,date-bucket,length-log,the,and,of,to,in,that,a,is,it,be
10,test,13923,"The English farrier, or, Countrey-mans treasure Showing approved remedies to cure all diseases, hurts, maimes, maladies, and griefs in horses: and how to know the several diseases that breed in them; with a description of every vein; how, and when to let them blood, according to the nature of their diseases. With directions to know the several ages of them. Faithfully set forth according to art and approved experiment, for the benefit of gentlemen, farmers, inholders, husbandmen, and general for all.; Very perfect discourse, and order how to know the age of a horse, and the diseases that breed in him, with the remedies to cure the same",L. W. C.,1639,English,1630-1641,9,0.0731882496588379,0.06658047834518423,0.03813833225597932,0.020613373554550025,0.021116138763197588,0.006679594914889033,0.031243266537384184,0.010773540185304891,0.02549737843855491,0.011491776197658551
11,test,23287,"A most pythye and excellent epistell to anymate all true Christians unto the cross of Christ, translated out off ffre[n]che [sic] into ynglyshe by Robert Pownoll. With a preface to the reader.","Pownall, Robert, 1520-1571.",1556,English,1550-1599,10,0.0555674840039507,0.038261691072272085,0.006484304547601666,0.02306007643749732,0.017005196032120928,0.026495469575299524,0.009747928028513764,0.015588096362777516,0.011852106325417616,0.010091467342293985
12,test,6967,A sermon made: by the famous doctor Erasmus of Roterodame; Liturgia Virginis Lauretanae. English,"Erasmus, Desiderius, d. 1536.",1533,English,1470-1549,8,0.04880149275154299,0.05152863499354098,0.03789292378355103,0.029567963255346635,0.016936988660829627,0.01722405626525047,0.010334433759150281,0.012056839385675328,0.009329697143677337,0.011482704176833645
13,test,6684,"The great mystery of godliness Jesus Christ our Lord God and man, and man with God; one in Jesus Christ our Lord. By Mr. Erbury minister of the word.","Erbery, William, 1604-1654.",1640,English,1630-1641,8,0.04488330341113106,0.04129263913824057,0.03381208856971873,0.01959904248952723,0.03231597845601436,0.011071214841412328,0.008677438659485339,0.01047277079593058,0.0047875523638539795,0.006582884500299222
14,train,4931,"A declaration and catholic exhortation to all Christian princes to succor the Church of God and realm of France. Written by Peter Erondelle, native of Normandy. Faithfully translated out of the French","Erondelle, Pierre, fl. 1586-1609.",1586,English,1550-1599,8,0.05759480835530319,0.03650375177448793,0.041168120056783615,0.037112147637396065,0.015818292435611437,0.020077063475968365,0.008314743459744475,0.0125735145001014,0.01176232001622389,0.008111944838775097
15,train,37166,"The conviction of novelty, and defense of antiquity. Or demonstratiue arguments of the falsitie of the new religion of England: and truth of the Catholic Roman faith Delivered in twelve principal sylogismes, and directed to the more scholasticall wits of the realm of great Britanie, especially to the ingenious students of the two most renowned universities of Oxford & Cambrige [sic]. Author R.B. Roman Catholic, and one of the English clergy and mission.","Broughton, Richard.; Broughton, Richard, attributed name.; Lascelles, Richard, attributed name.",1632,English,1630-1641,10,0.0752031426572674,0.038206963353602755,0.057794758650379384,0.024538556745412474,0.029300974008502397,0.020099015228972717,0.00782973685626648,0.017058601948017005,0.013157186675994189,0.008986708281762902
16,test,32724,"The castle of Christianity detecting the long erring estate, asvvell of the Roman Church, as of the Bishop of Rome: together with the defense of the catholic faith: set forth, by Lewys Euans.","Evans, Lewis, fl. 1574.",1568,English,1550-1599,10,0.04999388827771666,0.031475369759198145,0.03236156949028236,0.0209326488204376,0.01567656765676568,0.018151815181518153,0.010084341767510085,0.015829360713849164,0.011612272338344946,0.015370981542598706
17,train,909,"An Example of Gods judgment shew[n] upon two children borne in high Dutch la[nd] in the city of Lutssolof, the first day of Iulie and translated out of Dutche into English the 6. November last / by Cornelius Pet.","Pet, Cornelius.",1582,English,1550-1599,6,0.0627062706270627,0.0484048404840484,0.0429042904290429,0.022002200220022,0.019801980198019802,0.011001100110011,0.013201320132013201,0.0044004400440044,0.009900990099009901,0.013201320132013201
18,test,4276,"An exhortation unto prayer thought mete by the kings majesty, and his clergy, to be read to the people in every church before processyions. Also a letanie with suffrages to be said or song in the time of the said processyons.",Church of England.; Church of England. Litany. 1544.,1544,English,1470-1549,8,0.054724041159962586,0.06524789522918616,0.03578110383536015,0.03320860617399439,0.017539756782039288,0.021983161833489244,0.0023386342376052385,0.006548175865294668,0.010991580916744622,0.011225444340505146
19,test,17998,"A supplication of the Family of Love (said to be presented into the Kings royal hands, known to be dispersed among his loyal subjects) for grace and favor Examined, and found to be derogatorie in an hie degree, unto the glory of God, the honor of our King, and the religion in this realm both soundly professed & firmly established.",,1606,English,1600-1629,9,0.06100677853094789,0.055506167351927996,0.047227469718857655,0.022169129903322593,0.018724302700300035,0.013501500166685188,0.006667407489721081,0.008612068007556395,0.0038893210356706303,0.008500944549394377
20,train,11188,"The complaint of Paul's, to all Christian souls: or an humble supplication, to our good King and nation, for her new reparation. Written by Henry Farley. Amore, veritate, & reuerentia","Farley, Henry.",1616,English,1600-1629,9,0.031462281015373614,0.05041115480872363,0.015641759027529494,0.023686092241687523,0.016803718269574545,0.019395781194136576,0.013943510904540579,0.008044333214158025,0.00956381837683232,0.012602788702180907
21,train,8831,"St. Paules-Church her bill for the Parliament as it was presented to the Kings Matie on Midlent-Sunday last, and intended for the view of that most high and honorable court, and generally for all such as bear good will to the reflourishing estate of the said church. Partly in verse, partly in prose. Penned and published for her good by Hen: Farley author of her complaint.","Farley, Henry.",1621,English,1600-1629,9,0.048352394972256824,0.050730381610236665,0.029894689163175177,0.026610802853583963,0.018570943268033064,0.013814969992073376,0.014947344581587588,0.007586909749745216,0.0080398595855509,0.009625184010870796
22,test,2623,"[Diverse & sundry ways of two parts in one, to the number of forty, upon one playnsong]","Farmer, John, fl. 1591-1601.",1591,English,1550-1599,7,0.10102935569958063,0.014868471216164697,0.014487228364468167,0.018680899733130005,0.07853602744948532,0.007624857033930614,0.019443385436523065,0.0072436141822340835,0.012199771254288982,0.00533739992375143
23,train,14271,"Historia de done famous. Or The Roman iubile which happened in the year 855. Disputed lately, that there was a woman pope named Ione the eight, against all the Jesuits, by a German, but especially against Rob. Bellarmine father of all controversies, his treatise De Romano pontifico. lib. 3. cap. 24. Newly translated into English","German.; T. B., fl. 1599.; Witekind, Hermann, d. 1603, attributed name.",1599,English,1550-1599,9,0.05297456380071474,0.04568705766939948,0.047859295073926146,0.02081143577885222,0.025646415808282533,0.015836311400742768,0.01779833228225072,0.009109382664144069,0.011071403545652022,0.007988227874710953
24,train,8829,"The widows petition delivered in a sermon before the judges at the assizes held at Northampton, July 25. 1633. by Antony Fawkner, parson of Saltry All Saints, alias Moygne in Huntingtonshire.","Fawkner, Antony, b. 1601 or 2.",1635,English,1630-1641,9,0.06218144750254842,0.03363914373088685,0.03567787971457696,0.01834862385321101,0.02197304337977121,0.012798731453165704,0.016649677200135916,0.012345679012345678,0.005889681730660324,0.008607996375580473
25,test,6624,The Fisher catched in his own net,"Featley, Daniel, 1582-1645.",1623,English,1600-1629,8,0.06099033816425121,0.03275966183574879,0.028683574879227052,0.03094806763285024,0.020380434782608696,0.01932367149758454,0.014341787439613526,0.018417874396135264,0.009359903381642512,0.012983091787439612
26,test,34582,"The voyage and travail of M. Caesar Frederick, merchant of Venice, into the East India, the Indies, and beyond the Indies. Wherein are contained very pleasant and rare matters, with the customs and rites of those countries. Also, herein are discovered the merchandises and commodities of those countries, as well the abundance of goulde and silver, as spices, drugges, pearls, and other jewelles. Written at sea in the Hercules of London: coming from Turkey, the 25. of March. 1588. For the profitabvle instruction of merchants and all other travellers for their better direction and knowledge of those countries. Out of Italian, by T H.; Viagge de M. Cesare de i Federici, nell' India Orientale, et oltra l'India. English","Federici, Cesare.; Hickock, Thomas.",1588,English,1550-1599,10,0.06425307963680528,0.04577525880515875,0.04464750448210052,0.0232490891215083,0.022670753571222023,0.022005667688392808,0.020241744260019665,0.01665606384824475,0.010207622462552773,0.005436354172690995
27,train,21020,"The manner to dye well An introduction most compendiouslie shewinge the fruytfull remembrance of the last four things: that is to say, death, hell, judgment, and the joys of heaven. Gathered out of many good authors, both comfortable and profitable to the dilligent reader. Learnedly instructing how to provide for death.","Soto, Pedro de, d. 1563. aut; W. B.",1578,English,1550-1599,9,0.044576593720266414,0.047050428163653665,0.03763082778306375,0.02549952426260704,0.019362511893434825,0.01655566127497621,0.006945765937202664,0.012654614652711702,0.006660323501427212,0.012892483349191247
28,test,846,"The prayer and confession of Mr. Felton, word for word as he spoke it immediately before his execution. Novem. 29. 1628","Felton, John, 1595?-1628.",1628,English,1600-1629,6,0.037825059101654845,0.035460992907801414,0.02955082742316785,0.016548463356973995,0.010638297872340425,0.02364066193853428,0.013002364066193853,0.001182033096926714,0.010638297872340425,0.0070921985815602835
29,train,30325,"The compters commonwealth, or A voyage made to an infernal island long since discovered by many captains, seafaring-men, gentlemen, merchants, and other tradesmen but the conditions, natures, and qualities of the people there inhabiting, and of those that traffic with them, were never so truly expressed or lively set forth as by William Fennor His Majesty's servant.","Fennor, William.",1617,English,1600-1629,10,0.04181368507831822,0.03436108821104699,0.027304204451772465,0.030997526793075023,0.01668590272052762,0.016751854905193736,0.023347073371805444,0.008375927452596868,0.009035449299258038,0.008738664468260512
30,train,62657,"Monophylo, Drawn into English by Geffray Fenton. A philosophical discourse, and division of love; Monophile. English","Pasquier, Etienne, 1529-1615.; Fenton, Geoffrey, Sir, 1539?-1608.",1572,English,1550-1599,11,0.04513462182996313,0.03019614727803757,0.041575562187784285,0.04026684967361987,0.025120896308473115,0.015337472269658618,0.01746014012799847,0.008522591250778045,0.007916114719823803,0.007389437732416171
31,test,1221583,"A commentary or, exposition upon the divine second epistle general, written by the blessed apostle St. Peter. By Thomas Adams","Adams, Thomas, fl. 1612-1653.",1633,English,1630-1641,14,0.05550011747052799,0.025435029793309173,0.03289092922871389,0.025081390294396697,0.016878099973558897,0.016572758461766413,0.018106014900338332,0.018715879313972117,0.014509861384776964,0.010643566585324124
32,test,15641,"A dialogue against light, lewd, and lascivious dancing wherein are refuted all those reasons, which the common people use to bring in defense thereof. Compiled and made by Christopher Fetherston.","Fetherston, Christopher.",1582,English,1550-1599,9,0.04200498689342113,0.030177098650981393,0.023463972891758837,0.025062336167764206,0.015855763697973275,0.01764593056709929,0.013042644332203823,0.013745924173646186,0.01061313215267566,0.010996739338916948
33,test,11288,A Christians preparation to the worthy receiving of the blessed sacrament of the Lords Supper,"Field, Theophilus, 1574-1636.",1622,English,1600-1629,9,0.05262225372076541,0.0446491849751949,0.03977675407512403,0.03437278525868179,0.01957831325301205,0.014617292700212616,0.012668320340184266,0.016477675407512403,0.011162296243798725,0.00877037562012757
34,train,121800,"Law, or, a discourse thereof in four books. Written in French by Sir Henry Finch Knight, his Majesty's Serieant at Law. And done into English by the same author.; Nomotechnia. English","Finch, Henry, Sir, d. 1625.; I. L., 17th cent.",1627,English,1600-1629,11,0.06853858784893267,0.02654351395730706,0.03967159277504105,0.02192118226600985,0.024195402298850574,0.011149425287356322,0.025032840722495894,0.016133004926108373,0.010180623973727421,0.01718390804597701
35,train,7516,"The bloody book, or, The tragical and desperate end of Sir John Fites (alias) Fitz",,1605,English,1600-1629,8,0.046966471527408196,0.031931878658861094,0.03911655135710484,0.026875997871208087,0.01729643427354976,0.014369345396487493,0.019026077700904736,0.002927088877062267,0.006785524215007983,0.00651942522618414
36,test,13503,"Certain elegies, done by sundry excellent wits With satyrs and epigrames.; Satyrs: and satyricall epigrams","Fitzgeffrey, Henry.; Beaumont, Francis, 1584-1616.; Drayton, Michael, 1563-1631.; Hooks, Nathaniel, fl. 1618, attributed name.",1618,English,1600-1629,9,0.024661186403021552,0.021921054580463603,0.020143671776642228,0.025994223505887582,0.017921943271865512,0.012367622009923722,0.022513515515070727,0.009849663037843443,0.011108642523883583,0.008738798785455085
37,test,39784,The fall of Babylon in usurping ecclesiastical power and offices And the miserable estate of them that partake of her fornications.,,1634,English,1630-1641,10,0.06537804142368792,0.050573094711441786,0.0432837321536296,0.025965212145586166,0.02410516790669616,0.02121455861652926,0.00980293585360949,0.013020309672230043,0.009828071586567464,0.00897345666599638
38,test,21543,"A bright burning beacon forewarning all wise virgins to trim their lamps against the coming of the Bridegroom. Containing a general doctrine of sundry signs and wonders, specially earthquakes both particular and general: a discourse of the end of this world: a commemoration of our late earthquake, the 6. of April, about 6. of the clock in the evening 1580. And a prayer for the appeasing of Gods wrath and indignation. Newly translated and collected by Abraham Fleming. The sum of the whole book follows in fit place orderly divided into chapters.","Nausea, Friedrich, d. 1552.; Fleming, Abraham, 1552?-1607.",1580,English,1550-1599,9,0.06247969177923223,0.04525832056816599,0.04590818363273453,0.02515898435686766,0.02358074548577264,0.018660353711182284,0.01100125330733881,0.009098082903959522,0.010397809033096598,0.009330176855591142
39,test,11298,"Relation of the expongnable attempt and conquest of the yland of Tercera, and all the ylands thereto adjoining: don by Don Albaro de Bacan, Marquis of Santa crnz [sic], the chief comme[n]dador of Leon, and captain general of his Majesty. And of all the enemies that were in the said ylande, and of the bulwarks, artilerie, and munitions of the city of Angra, and towns and vilages thereto belonging: and of the dwellers therein, and of all the punishment that was done upon them. Done in An. 1583","Bazan, Alvaro de, marquis de Santa Cruz, 1526-1588.",1583,English,1550-1599,9,0.06664896441848114,0.06142680120375287,0.06496725084085678,0.01327668613913967,0.02734997344662772,0.01575500088511241,0.012126040007080898,0.002920870950610727,0.002655337227827934,0.004602584528235086
40,train,11298,"Relation of the expongnable attempt and conquest of the yland of Tercera, and all the ylands thereto adjoining: don by Don Albaro de Bacan, Marquis of Santa crnz [sic], the chief comme[n]dador of Leon, and captain general of his Majesty. And of all the enemies that were in the said ylande, and of the bulwarks, artilerie, and munitions of the city of Angra, and towns and vilages thereto belonging: and of the dwellers therein, and of all the punishment that was done upon them. Done in An. 1583","Bazan, Alvaro de, marquis de Santa Cruz, 1526-1588.",1583,English,1550-1599,9,0.06664896441848114,0.06142680120375287,0.06496725084085678,0.01327668613913967,0.02734997344662772,0.01575500088511241,0.012126040007080898,0.002920870950610727,0.002655337227827934,0.004602584528235086
41,train,171667,"A panoplie of epistles, or, a looking glass for the unlearned Containing a perfect plattforme of inditing letters of all sorts, to persons of al estates and degrees, as well our superiors, as also our equals and inferiors: used of the best and the eloquentest rhetoricians that have lived in all ages, and have been famous in that faculty. Gathered and translated out of Latin into English, by Abraham Flemming.; Panoplie of epistles.","Cicero, Marcus Tullius.; Ascham, Roger, 1515-1568.; Fleming, Abraham, 1552?-1607.",1576,English,1550-1599,12,0.03739798563497935,0.043520303844070206,0.039867883751682036,0.033757216005405814,0.022403839992543705,0.01752229607321151,0.01389317690645261,0.011720365591523124,0.007695130689066624,0.012413568128993925
42,train,20611,The bloody brother A tragedy. By B.J.F.,"Fletcher, John, 1579-1625.; Jonson, Ben, 1573?-1637.; Massinger, Philip, 1583-1640.",1639,English,1630-1641,9,0.027169957789529863,0.031051380330891273,0.019261559361505993,0.021202270632186698,0.01198389209645335,0.012905729950026685,0.01567124351074669,0.013293872204162826,0.01421571005773616,0.008830236281597206
43,test,23222,"Feudigraphia The synopsis or epitome of surueying methodized. Anatomizing the whole corpse of the faculty; viz. The material, mathematical, mechanical and legal parts, intimating all the incidents to fees and possessions, and whatsoever may be comprised under their matter, form, propriety, and valuation. Very pertinent to be perused of all those, whom the right, reuenewe, estimation, farming, occupation, manurance, subduing, preparing and employing of arable, meadow, pasture, and all other plots do concern. And no less remarkable for all vnder-takers in the plantation of Ireland or Virginia ... Composed in a compendious digest by W. Folkingham. G.","Folkingham, W. (William)",1610,English,1600-1629,10,0.06334510378089743,0.05990009473774869,0.03841185083110843,0.01838773576780639,0.01967961415898717,0.003961760399621049,0.012445095168374817,0.012574283007492894,0.0067177676341400394,0.00895702351218672
44,train,25634,Four sermons which do manifest the true sense of the 1. Epistle to Timothy 6. Chaper 13. 14. 15. [and] 16. verses of that chapter. Preached by the reverend divine Mr. John Forbes late preacher to the Company of Merchant-Adventurers in Delft. Published by S.O.,"Forbes, John, 1568?-1634.",1635,English,1630-1641,10,0.05648747756885386,0.03257392525552001,0.03998595615198564,0.03596785519232269,0.022080049933681827,0.024732776780837948,0.009947725676835452,0.022665210267613325,0.015487243504720293,0.01185924943434501
45,test,14002,A fruitful sermon made by the reverend and learned Mr. John Forbes. Pastor of the English company of merchants adventures at Delft. Published by some of his flock out of sincere affection for common good,"Forbes, John, 1568?-1634.",1626,English,1600-1629,9,0.0647050421368376,0.034566490501356954,0.04806456220539923,0.02942436794743608,0.03356663333809456,0.022639622911012715,0.0075703470932723905,0.01535494929295815,0.008141694043708042,0.01306956149121554
46,train,76952,"A treatise tending to clear the doctrine of justification. Written by Io. Forbes, pastor of the English Church at Middelburgh, for the instruction of his flock: and now published by some of them for the good of others","Forbes, John, 1568?-1634.",1616,English,1600-1629,11,0.06766555775028589,0.033189520740201685,0.04878365734483834,0.0261201788127664,0.029485913296600476,0.024027965484977647,0.005717850088366774,0.02900509408462418,0.014294625220916934,0.013203035658592368
47,train,4085,"A peaceable warning, to the subjects in Scotland given in the year of God 1638.","Forbes, John, 1593-1648.",1638,English,1630-1641,8,0.05924112607099143,0.042105263157894736,0.04504283965728274,0.03206854345165239,0.02766217870257038,0.014932680538555692,0.007099143206854346,0.009302325581395349,0.010526315789473684,0.008567931456548349
48,test,1531,"Panegyric to the high and mighty monarch, Charles by the grace of God, King of Great Britain, France, and Ireland, defender of the faith, &c. by Walter Forbes.","Forbes, Walter, 17th century.",1633,English,1630-1641,7,0.042455911169170475,0.04114957544088831,0.020901371652514697,0.017635532331809277,0.020901371652514697,0.002612671456564337,0.006531678641410843,0.005225342913128674,0.002612671456564337,0.012410189418680601
49,train,10560,A line of life Pointing at the immortality of a virtuous name.,"Ford, John, 1586-ca. 1640.",1620,English,1600-1629,9,0.05397727272727273,0.032859848484848485,0.045265151515151515,0.03674242424242424,0.023579545454545454,0.013541666666666667,0.028882575757575756,0.016856060606060607,0.010606060606060607,0.013446969696969697
50,train,88594,"De laudibus legum Angliae written by Sir John Fortescue L. Chapter Justice, and after L. Chancellor to K. Henry VI. Hereto are ioind the two Sums of Sir Ralph de Hengham L. Chapter Justice to K. Edward I. commonly called Hengham magna, and Hengham parua. Never before published. Notes both on Fortescue and Hengham are added; De laudibus legum Angliae. English and Latin","Fortescue, John, Sir, 1394?-1476?; Mulcaster, Robert, 16th cent.; Seldom, John, 1584-1654.; Hengham, Ralph de, d. 1311. Summae.",1616,,1600-1629,11,0.035103957378603515,0.03318509154118789,0.02519357970065693,0.011151996749215522,0.028150890579497483,0.009165406235185226,0.008781633067702101,0.008059236517145631,0.0050793507461001875,0.00650156895500824
51,test,9527,"Certain considerations touching the better pacification, and edification of the Church of England dedicated to His most excellent Majesty.","Bacon, Francis, 1561-1626.",1604,English,1600-1629,9,0.07263566705153773,0.0510129106749239,0.04681431720373675,0.026766033378818097,0.02372205311220741,0.022672404744410624,0.015114936496273748,0.0178440222525454,0.014485147475595676,0.015639760680172143
52,train,4848,The association of the princes of France with the protestations and declarations of their allegiance to the King. Also a discourse upon the surrendry of the seals into the Kings hands by M. du Vaiz [sic].,"Du Vair, Guillaume, 1556-1621.; Concini, Concino, marechal d'Ancre, ca. 1575-1617.; Mayenne, Henri de Lorraine, duc de, 1578-1621.; Bouillon, Henri de la Tour-d'Auvergne, Duc de, 1555-1623.; Vendome, Caesar de Bourbon, duc de, 1594-1665.",1617,English,1600-1629,8,0.0688943894389439,0.051773927392739276,0.053424092409240925,0.037334983498349836,0.011551155115511552,0.01712046204620462,0.007219471947194719,0.007425742574257425,0.010932343234323433,0.009282178217821782
53,test,5305,"A iournall, wherein is truly set down from day to day, what was done, and worthy of noting in both the armies, from the last coming of the D. of Parma into France, until the eighteenth of May 1592, according to the French computation Whereunto is added other news from Genes, the which are confirmed by sundry letters of credit. Translated out of French by E. A.","Aggas, Edward.",1592,English,1550-1599,8,0.09236569274269557,0.03449575871819039,0.046936852026390204,0.0352497643732328,0.016211121583411876,0.02054665409990575,0.010933081998114987,0.0041470311027332705,0.004524033930254477,0.0024505183788878417
54,train,1387,"The destruction and sack cruelly committed by the Duke of Guyse and his company, in the town of Vassy, the first of March, in the year M. D. LXII.; Destruction du saccagement, exerce cruellement par le Duc de Guise en la ville de Vassy. English.",,1562,English,1550-1599,7,0.083633741888969,0.058399423215573176,0.05118961788031723,0.021629416005767843,0.0136986301369863,0.010814708002883922,0.015861571737563085,0.003604902667627974,0.007209805335255948,0.0014419610670511895
55,test,17109,"Rub, and a great cast Epigrams. By Thomas Freeman, Gent.","Freeman, Thomas, b. 1590 or 91.",1614,English,1600-1629,9,0.03010111637150038,0.029165936057045996,0.012332690396867145,0.020924659535916768,0.0192880939856216,0.011163715003799169,0.018177567362207023,0.012858729323747735,0.01163130516102636,0.008533520369396223
56,test,28010,"Of the preparation to the cross, and to death and of the comfort under the cross and death, two books very fruictefull for devout people to read, translated from latin to english, by Richard Tracy.","Frith, John, 1503-1533, attributed name.; Tracy, Richard, d. 1569.",1540,English,1470-1549,10,0.05647982863263121,0.04173509460906819,0.03345233845055338,0.025526597643698683,0.019707247411638703,0.019921456622634774,0.008532666904676902,0.01670831845769368,0.007354516244198501,0.018064976794002145
57,train,28010,"Of the preparation to the cross, and to death and of the comfort under the cross and death, two books very fruictefull for devout people to read, translated from latin to english, by Richard Tracy.","Frith, John, 1503-1533, attributed name.; Tracy, Richard, d. 1569.",1540,English,1470-1549,10,0.05647982863263121,0.04173509460906819,0.03345233845055338,0.025526597643698683,0.019707247411638703,0.019921456622634774,0.008532666904676902,0.01670831845769368,0.007354516244198501,0.018064976794002145
58,test,116286,"Praelections upon the sacred and holy Revelation of S. John, written in latin by William Fulke Doctor of Divinity, and translated into English by George Gyffard; In sacram divi Joannis Apocalypsim praelectiones. English","Fulke, William, 1538-1589.; Gifford, George, d. 1620.",1573,English,1550-1599,11,0.07349121992329258,0.04077876958533271,0.05007481554099376,0.02449134031611716,0.01608964105739298,0.021094542765251193,0.00869408183272277,0.01540168205974924,0.00827270694666598,0.011248129611475156
59,train,38447,An answer of a true Christian to the proud challenge of a counterset Catholic. By William Fulke Doctor in divinity; Two treatises written against the papists. Part 1,"Fulke, William, 1538-1589.; Albin de Valsergues, Jean d', d. 1566. Notable discourse.",1577,English,1550-1599,10,0.06380211720030171,0.03282440762608266,0.04614144146487372,0.02208234712721409,0.020547767055947148,0.021952297968632142,0.007750929851483861,0.013082945353343565,0.011964522589538847,0.01316097484849273
60,train,41342,"Ioseph's partie-colored coat containing, a comment on part of the 11. chapter of the 1. epistle of S. Paul to the Corinthians : together with several sermons, namely, [brace] 1. Growth in grace, 2. How far examples may be followed, 3. An ill match well broken off, 4. Good from bad friends, 5. A glass for gluttons, 6. How far grace may be entayled, 7. A christning sermon, 8. Faction confuted / by T.F.","Fuller, Thomas, 1608-1661.",1640,English,1630-1641,10,0.05478689952106817,0.030961250060471193,0.036282714914614676,0.028034444390692276,0.023849837937206717,0.012723138696724881,0.014150258816699726,0.013013400416041798,0.011973295921822844,0.012965023462822313
