id,actual,RandForest,RandForest-Bal
733,False,0.43,0.41
734,False,0.56,0.56
735,False,0.21,0.24
736,False,0.13,0.12
737,False,0.27,0.23
738,False,0.59,0.64
739,False,0.41,0.39
740,False,0.55,0.58
741,False,0.15,0.14
742,False,0.31,0.23
743,False,0.27,0.31
744,False,0.3,0.38
745,False,0.24,0.24
746,False,0.24,0.24
747,False,0.28,0.28
748,False,0.41,0.29
749,False,0.41,0.46
750,False,0.28,0.31
751,False,0.61,0.73
752,False,0.19,0.2
753,False,0.39,0.36
754,False,0.64,0.47
755,False,0.5,0.66
756,False,0.19,0.24
757,False,0.45,0.48
758,False,0.52,0.71
759,False,0.48,0.56
760,False,0.15,0.15
761,False,0.23,0.21
762,False,0.37,0.42
763,False,0.63,0.51
764,False,0.83,0.82
765,False,0.55,0.47
766,False,0.27,0.35
767,False,0.21,0.21
768,False,0.53,0.66
769,True,0.81,0.8
770,False,0.18,0.35
771,False,0.32,0.35
772,False,0.39,0.42
773,False,0.63,0.69
774,False,0.44,0.4
775,False,0.55,0.53
776,False,0.07,0.12
777,False,0.63,0.53
778,False,0.23,0.19
779,False,0.61,0.69
780,False,0.25,0.32
781,False,0.2,0.14
782,False,0.2,0.13
783,False,0.2,0.13
784,False,0.18,0.06
785,False,0.19,0.26
786,False,0.59,0.69
787,False,0.55,0.62
788,False,0.12,0.18
789,False,0.38,0.36
790,False,0.1,0.15
791,False,0.17,0.21
792,False,0.13,0.15
793,False,0.23,0.25
794,False,0.4,0.36
795,False,0.3,0.33
796,False,0.48,0.44
797,False,0.43,0.35
798,False,0.25,0.26
799,False,0.7,0.8
800,False,0.44,0.42
801,False,0.7,0.65
802,False,0.66,0.73
803,False,0.12,0.16
804,False,0.58,0.6
805,False,0.52,0.54
806,False,0.29,0.34
807,False,0.82,0.7
808,False,0.72,0.64
809,False,0.29,0.26
810,False,0.17,0.26
811,False,0.28,0.16
812,False,0.58,0.61
813,False,0.51,0.67
814,False,0.75,0.68
815,False,0.22,0.19
816,False,0.34,0.24
817,False,0.22,0.22
818,False,0.56,0.66
819,False,0.36,0.49
820,False,0.22,0.25
821,False,0.55,0.63
822,False,0.52,0.55
823,False,0.43,0.52
824,False,0.48,0.55
825,False,0.05,0.14
826,False,0.24,0.29
827,False,0.21,0.24
828,False,0.21,0.24
829,False,0.64,0.62
830,False,0.64,0.62
831,False,0.24,0.23
832,False,0.28,0.26
833,False,0.25,0.25
834,False,0.54,0.59
835,False,0.44,0.62
836,False,0.55,0.48
837,False,0.25,0.24
838,False,0.18,0.24
839,False,0.57,0.6
840,False,0.57,0.6
841,False,0.76,0.71
842,False,0.56,0.56
843,False,0.16,0.14
844,False,0.54,0.52
845,False,0.22,0.21
846,False,0.22,0.3
847,False,0.22,0.24
848,False,0.15,0.23
849,False,0.56,0.69
850,False,0.27,0.26
851,False,0.79,0.76
852,False,0.16,0.29
853,False,0.57,0.65
854,False,0.18,0.12
855,False,0.61,0.6
856,False,0.22,0.22
857,False,0.22,0.3
858,False,0.48,0.56
859,False,0.67,0.54
860,False,0.48,0.57
861,False,0.16,0.28
862,False,0.09,0.11
863,False,0.09,0.11
864,False,0.59,0.63
865,False,0.2,0.21
866,False,0.21,0.22
867,False,0.79,0.72
868,False,0.37,0.23
869,False,0.25,0.32
870,False,0.25,0.3
871,False,0.53,0.53
872,False,0.53,0.62
873,False,0.28,0.24
874,False,0.64,0.72
875,False,0.14,0.18
876,False,0.25,0.24
877,False,0.55,0.54
878,False,0.14,0.27
879,False,0.14,0.27
880,False,0.25,0.32
881,False,0.2,0.21
882,False,0.65,0.57
883,False,0.51,0.39
884,False,0.29,0.44
885,False,0.71,0.71
886,False,0.1,0.21
887,False,0.17,0.21
888,False,0.59,0.64
889,False,0.22,0.28
890,False,0.24,0.28
891,False,0.59,0.66
892,False,0.19,0.22
893,False,0.72,0.78
894,False,0.23,0.29
895,False,0.25,0.19
896,False,0.26,0.43
897,False,0.57,0.69
898,False,0.5,0.47
899,False,0.21,0.24
900,False,0.05,0.14
901,True,0.95,0.98
902,True,0.96,0.94
903,True,0.94,0.97
904,True,0.82,0.8
905,True,0.89,0.93
906,True,0.93,0.91
907,True,0.98,0.99
908,True,0.98,0.99
909,True,0.69,0.83
910,True,0.93,0.95
911,True,0.94,0.89
912,True,0.95,0.9
913,True,0.86,0.95
914,True,0.87,0.93
915,True,0.94,1.0
916,True,0.94,0.95
917,True,0.74,0.83
918,True,0.94,0.92
919,True,0.94,0.92
920,True,0.96,0.97
921,True,0.78,0.89
922,True,0.85,0.84
923,True,0.94,0.97
924,True,0.81,0.76
925,True,0.91,0.95
926,True,0.96,0.97
927,True,0.93,0.9
928,True,0.58,0.55
929,True,0.81,0.95
930,True,0.82,0.84
931,True,0.63,0.8
932,True,0.97,0.95
933,True,0.68,0.79
934,True,0.93,0.96
935,True,0.98,0.99
936,True,0.8,0.76
937,True,0.94,0.88
938,True,0.99,0.94
939,True,0.98,0.97
940,True,0.86,0.94
941,False,0.22,0.28
942,True,0.98,0.95
943,True,0.94,0.92
944,True,0.96,0.92
945,True,0.83,0.93
946,True,0.96,0.98
947,True,0.96,0.98
948,True,0.99,0.95
949,True,0.99,0.95
950,True,0.99,0.97
951,True,0.99,0.97
952,True,0.79,0.84
953,True,0.97,0.99
954,True,0.98,1.0
955,True,0.94,0.95
956,True,0.99,0.99
957,True,0.92,0.9
958,True,0.83,0.89
959,True,0.83,0.89
960,True,0.95,0.97
961,True,0.93,0.9
962,True,0.92,0.92
963,True,0.85,0.88
964,True,0.73,0.78
965,True,0.89,0.95
966,False,0.7,0.73
967,True,0.83,0.88
968,True,0.87,0.82
969,True,0.96,0.94
970,True,0.95,0.93
971,True,0.86,0.89
972,True,0.87,0.82
973,True,0.96,0.96
974,True,0.97,0.94
975,True,0.97,0.94
976,True,0.99,0.97
977,True,0.95,0.97
978,True,0.95,0.97
979,True,0.89,0.85
980,True,0.83,0.72
981,True,0.98,0.96
982,True,1.0,0.97
983,True,0.79,0.89
984,True,0.96,0.91
985,True,0.97,0.97
986,True,0.91,0.99
987,True,0.98,0.97
988,True,0.85,0.91
989,True,0.96,0.98
990,True,0.77,0.87
991,True,0.88,0.95
992,True,0.91,0.86
993,True,0.95,0.97
994,True,0.87,0.82
995,True,0.96,0.97
996,True,0.92,0.9
997,True,0.93,0.95
998,True,0.92,0.97
999,True,0.94,0.94
1000,True,0.94,0.91
1001,True,0.89,0.84
1002,True,0.95,0.97
1003,True,0.96,0.95
1004,True,0.95,0.89
1005,True,0.88,0.84
1006,True,0.86,0.84
1007,True,0.84,0.81
1008,True,0.96,0.89
1009,True,0.62,0.74
1010,True,0.96,0.94
1011,True,0.96,0.99
1012,True,0.92,0.93
1013,True,0.82,0.88
1014,True,0.59,0.56
1015,True,0.94,0.9
1016,True,0.93,0.87
1017,True,0.95,0.98
1018,True,0.88,0.94
1019,True,0.9,0.97
1020,True,0.98,0.95
1021,True,0.99,0.92
1022,True,0.85,0.87
1023,True,0.93,0.9
1024,True,0.93,0.93
1025,True,0.8,0.91
1026,True,0.91,0.97
1027,True,0.95,0.95
1028,True,0.98,0.97
1029,True,0.71,0.64
1030,True,0.83,0.78
1031,True,0.86,0.98
1032,True,0.92,0.92
1033,True,0.88,0.88
1034,True,0.97,0.96
1035,True,0.94,0.88
1036,True,0.94,0.88
1037,True,0.89,0.86
1038,True,0.98,0.97
1039,True,0.98,0.99
1040,True,0.98,0.99
1041,True,0.95,0.97
1042,True,0.94,0.94
1043,True,0.93,0.96
1044,True,0.84,0.88
1045,True,0.89,0.89
1046,True,0.89,0.89
1047,True,0.92,0.9
1048,True,0.99,0.98
1049,False,0.79,0.85
1050,True,0.75,0.69
1051,True,0.87,0.87
1052,True,0.64,0.67
1053,True,0.89,0.89
1054,True,0.93,0.94
1055,True,0.83,0.93
1056,True,0.83,0.88
1057,True,0.84,0.78
1058,True,0.83,0.9
1059,True,0.94,0.94
1060,True,0.96,0.95
1061,True,0.94,0.91
1062,True,0.94,0.91
1063,True,0.89,0.98
1064,True,0.68,0.72
1065,True,0.94,0.9
1066,True,0.92,0.98
1067,True,0.72,0.81
1068,True,0.92,0.89
1069,True,0.84,0.81
1070,True,0.97,0.97
1071,True,0.9,0.94
1072,True,0.74,0.7
1073,True,0.9,0.91
1074,True,0.95,0.92
1075,True,0.96,0.91
1076,True,0.88,0.89
1077,True,0.94,0.92
1078,True,0.87,0.89
1079,True,0.91,0.85
1080,True,0.75,0.73
1081,True,0.83,0.9
1082,True,0.61,0.67
1083,True,0.94,0.96
1084,True,0.97,1.0
1085,True,0.85,0.88
1086,True,0.94,0.95
1087,True,0.91,0.95
1088,True,0.67,0.81
1089,True,0.94,0.9
1090,True,0.69,0.67
1091,True,0.93,0.85
1092,True,0.93,0.85
1093,True,0.89,0.87
1094,True,0.93,0.98
1095,True,0.8,0.8
1096,True,0.96,0.94
1097,True,0.93,0.91
1098,True,0.86,0.7
1099,True,0.96,0.97
1100,True,0.87,0.92
1101,True,0.85,0.84
1102,True,0.93,0.91
1103,True,0.78,0.77
1104,True,0.81,0.82
1105,True,0.74,0.83
1106,True,0.71,0.72
1107,True,0.95,0.98
1108,True,0.91,0.88
1109,True,0.95,0.93
1110,True,0.98,0.97
1111,True,0.83,0.87
1112,False,0.75,0.76
1113,True,0.91,0.96
1114,True,0.83,0.88
1115,True,0.86,0.88
1116,True,0.6,0.62
1117,True,0.69,0.69
1118,True,0.9,0.95
1119,True,0.96,0.97
1120,True,0.99,0.95
1121,True,0.92,0.9
1122,True,0.89,0.91
1123,False,0.17,0.21
1124,True,0.92,0.94
1125,True,0.96,0.89
1126,True,0.71,0.9
1127,True,0.73,0.55
1128,True,0.85,0.86
1129,False,0.22,0.32
1130,True,0.86,0.81
1131,True,0.96,0.96
1132,True,0.98,0.98
1133,True,0.98,0.98
1134,True,0.73,0.84
1135,True,0.85,0.93
1136,True,0.93,0.94
1137,True,0.99,0.97
1138,True,1.0,0.99
1139,True,0.89,0.96
1140,True,0.88,0.93
1141,True,0.88,0.93
1142,False,0.73,0.78
1143,True,0.88,0.94
1144,False,0.27,0.25
1145,True,0.88,0.87
1146,True,0.94,0.97
1147,True,0.92,0.84
1148,True,0.93,0.94
1149,True,0.81,0.79
